code,description,chapter,code_type,includes,excludes,code_system
I,Certain infectious and parasitic diseases,Diseases of the Circulatory System (I00-I99),chapter,,,ICD-10-CM
A00-A09,Intestinal infectious diseases,Infectious and Parasitic Diseases (A00-B99),block,,,ICD-10-CM
A00,Cholera,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A00.9,"Cholera, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A01,Typhoid and paratyphoid fevers,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A01.0,Typhoid fever,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A01.1,Paratyphoid fever A,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A01.2,Paratyphoid fever B,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A01.3,Paratyphoid fever C,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A01.4,"Paratyphoid fever, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A02,Other salmonella infections,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A02.0,Salmonella enteritis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A02.1,Salmonella sepsis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A02.2,Localized salmonella infections,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A02.8,Other specified salmonella infections,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A02.9,"Salmonella infection, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A03,Shigellosis,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A03.0,Shigellosis due to Shigella dysenteriae,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A03.1,Shigellosis due to Shigella flexneri,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A03.2,Shigellosis due to Shigella boydii,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A03.3,Shigellosis due to Shigella sonnei,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A03.8,Other shigellosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A03.9,"Shigellosis, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A04,Other bacterial intestinal infections,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A04.0,Enteropathogenic Escherichia coli infection,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A04.1,Enterotoxigenic Escherichia coli infection,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A04.2,Enteroinvasive Escherichia coli infection,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A04.3,Enterohaemorrhagic Escherichia coli infection,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A04.4,Other intestinal Escherichia coli infections,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A04.5,Campylobacter enteritis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A04.6,Enteritis due to Yersinia enterocolitica,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A04.7,Enterocolitis due to Clostridium difficile,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A04.8,Other specified bacterial intestinal infections,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A04.9,"Bacterial intestinal infection, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A05,"Other bacterial foodborne intoxications, not elsewhere classified",Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A05.0,Foodborne staphylococcal intoxication,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A05.1,Botulism,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A05.3,Foodborne Vibrio parahaemolyticus intoxication,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A05.4,Foodborne Bacillus cereus intoxication,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A05.8,Other specified bacterial foodborne intoxications,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A05.9,"Bacterial foodborne intoxication, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A06,Amoebiasis,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A06.0,Acute amoebic dysentery,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A06.1,Chronic intestinal amoebiasis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A06.2,Amoebic nondysenteric colitis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A06.3,Amoeboma of intestine,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A06.4,Amoebic liver abscess,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A06.5,Amoebic lung abscess,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A06.6,Amoebic brain abscess,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A06.7,Cutaneous amoebiasis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A06.8,Amoebic infection of other sites,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A06.9,"Amoebiasis, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A07,Other protozoal intestinal diseases,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A07.0,Balantidiasis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A07.1,Giardiasis [lambliasis],Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A07.2,Cryptosporidiosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A07.3,Isosporiasis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A07.8,Other specified protozoal intestinal diseases,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A07.9,"Protozoal intestinal disease, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A08,Viral and other specified intestinal infections,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A08.0,Rotaviral enteritis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A08.1,Acute gastroenteropathy due to Norovirus,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A08.2,Adenoviral enteritis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A08.3,Other viral enteritis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A08.4,"Viral intestinal infection, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A08.5,Other specified intestinal infections,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A09,Other gastroenteritis and colitis of infectious and unspecified origin,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A09.9,Gastroenteritis and colitis of unspecified origin,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A15-A19,Tuberculosis,Infectious and Parasitic Diseases (A00-B99),block,,,ICD-10-CM
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A15.1,"Tuberculosis of lung, confirmed by culture only",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A15.2,"Tuberculosis of lung, confirmed histologically",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A15.3,"Tuberculosis of lung, confirmed by unspecified means",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A16.0,"Tuberculosis of lung, bacteriologically and histologically negative",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A16.1,"Tuberculosis of lung, bacteriological and histological examination not done",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A17,Tuberculosis of nervous system,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A17.0,Tuberculous meningitis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A17.1,Meningeal tuberculoma,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A17.8,Other tuberculosis of nervous system,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A17.9,"Tuberculosis of nervous system, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A18,Tuberculosis of other organs,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A18.0,Tuberculosis of bones and joints,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A18.1,Tuberculosis of genitourinary system,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A18.2,Tuberculous peripheral lymphadenopathy,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A18.4,Tuberculosis of skin and subcutaneous tissue,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A18.5,Tuberculosis of eye,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A18.6,Tuberculosis of ear,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A18.7,Tuberculosis of adrenal glands,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A18.8,Tuberculosis of other specified organs,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A19,Miliary tuberculosis,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A19.0,Acute miliary tuberculosis of a single specified site,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A19.1,Acute miliary tuberculosis of multiple sites,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A19.2,"Acute miliary tuberculosis, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A19.8,Other miliary tuberculosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A19.9,"Miliary tuberculosis, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A20-A28,Certain zoonotic bacterial diseases,Infectious and Parasitic Diseases (A00-B99),block,,,ICD-10-CM
A20,Plague,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A20.0,Bubonic plague,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A20.1,Cellulocutaneous plague,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A20.2,Pneumonic plague,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A20.3,Plague meningitis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A20.7,Septicaemic plague,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A20.8,Other forms of plague,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A20.9,"Plague, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A21,Tularaemia,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A21.0,Ulceroglandular tularaemia,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A21.1,Oculoglandular tularaemia,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A21.2,Pulmonary tularaemia,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A21.3,Gastrointestinal tularaemia,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A21.7,Generalized tularaemia,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A21.8,Other forms of tularaemia,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A21.9,"Tularaemia, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A22,Anthrax,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A22.0,Cutaneous anthrax,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A22.1,Pulmonary anthrax,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A22.2,Gastrointestinal anthrax,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A22.7,Anthrax sepsis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A22.8,Other forms of anthrax,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A22.9,"Anthrax, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A23,Brucellosis,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A23.0,Brucellosis due to Brucella melitensis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A23.1,Brucellosis due to Brucella abortus,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A23.2,Brucellosis due to Brucella suis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A23.3,Brucellosis due to Brucella canis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A23.8,Other brucellosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A23.9,"Brucellosis, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A24,Glanders and melioidosis,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A24.0,Glanders,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A24.1,Acute and fulminating melioidosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A24.2,Subacute and chronic melioidosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A24.3,Other melioidosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A24.4,"Melioidosis, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A25,Rat-bite fevers,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A25.0,Spirillosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A25.1,Streptobacillosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A25.9,"Rat-bite fever, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A26,Erysipeloid,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A26.0,Cutaneous erysipeloid,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A26.7,Erysipelothrix sepsis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A26.8,Other forms of erysipeloid,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A26.9,"Erysipeloid, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A27,Leptospirosis,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A27.0,Leptospirosis icterohaemorrhagica,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A27.8,Other forms of leptospirosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A27.9,"Leptospirosis, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A28,"Other zoonotic bacterial diseases, not elsewhere classified",Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A28.0,Pasteurellosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A28.1,Cat-scratch disease,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A28.2,Extraintestinal yersiniosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A28.9,"Zoonotic bacterial disease, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A30-A49,Other bacterial diseases,Infectious and Parasitic Diseases (A00-B99),block,,,ICD-10-CM
A30,Leprosy [Hansen disease],Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A30.0,Indeterminate leprosy,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A30.1,Tuberculoid leprosy,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A30.2,Borderline tuberculoid leprosy,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A30.3,Borderline leprosy,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A30.4,Borderline lepromatous leprosy,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A30.5,Lepromatous leprosy,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A30.8,Other forms of leprosy,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A30.9,"Leprosy, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A31,Infection due to other mycobacteria,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A31.0,Pulmonary mycobacterial infection,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A31.1,Cutaneous mycobacterial infection,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A31.8,Other mycobacterial infections,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A31.9,"Mycobacterial infection, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A32,Listeriosis,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A32.0,Cutaneous listeriosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A32.1,Listerial meningitis and meningoencephalitis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A32.7,Listerial sepsis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A32.8,Other forms of listeriosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A32.9,"Listeriosis, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A33,Tetanus neonatorum,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A34,Obstetrical tetanus,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A35,Other tetanus,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A36,Diphtheria,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A36.0,Pharyngeal diphtheria,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A36.1,Nasopharyngeal diphtheria,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A36.2,Laryngeal diphtheria,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A36.3,Cutaneous diphtheria,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A36.8,Other diphtheria,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A36.9,"Diphtheria, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A37,Whooping cough,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A37.0,Whooping cough due to Bordetella pertussis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A37.1,Whooping cough due to Bordetella parapertussis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A37.8,Whooping cough due to other Bordetella species,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A37.9,"Whooping cough, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A38,Scarlet fever,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A39,Meningococcal infection,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A39.0,Meningococcal meningitis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A39.1,Waterhouse-Friderichsen syndrome,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A39.2,Acute meningococcaemia,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A39.3,Chronic meningococcaemia,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A39.4,"Meningococcaemia, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A39.5,Meningococcal heart disease,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A39.8,Other meningococcal infections,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A39.9,"Meningococcal infection, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A40,Streptococcal sepsis,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A40.0,"Sepsis due to streptococcus, group A",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A40.1,"Sepsis due to streptococcus, group B",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A40.2,"Sepsis due to streptococcus, group D and enterococcus",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A40.3,Sepsis due to Streptococcus pneumoniae,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A40.8,Other streptococcal sepsis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A40.9,"Streptococcal sepsis, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A41,Other sepsis,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A41.0,Sepsis due to Staphylococcus aureus,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A41.1,Sepsis due to other specified staphylococcus,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A41.2,Sepsis due to unspecified staphylococcus,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A41.3,Sepsis due to Haemophilus influenzae,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A41.4,Sepsis due to anaerobes,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A41.5,Sepsis due to other Gram-negative organisms,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A41.8,Other specified sepsis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A41.9,"Sepsis, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A42,Actinomycosis,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A42.0,Pulmonary actinomycosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A42.1,Abdominal actinomycosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A42.2,Cervicofacial actinomycosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A42.7,Actinomycotic sepsis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A42.8,Other forms of actinomycosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A42.9,"Actinomycosis, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A43,Nocardiosis,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A43.0,Pulmonary nocardiosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A43.1,Cutaneous nocardiosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A43.8,Other forms of nocardiosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A43.9,"Nocardiosis, unspecified",Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A44,Bartonellosis,Infectious and Parasitic Diseases (A00-B99),category,,,ICD-10-CM
A44.0,Systemic bartonellosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A44.1,Cutaneous and mucocutaneous bartonellosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
A44.8,Other forms of bartonellosis,Infectious and Parasitic Diseases (A00-B99),subcategory,,,ICD-10-CM
